Date,Open,High,Low,Close
2021-09-08T09:15:00+0530,373.35,373.95,318.55,335.45
2021-09-08T09:16:00+0530,335.45,380,335,373.2
2021-09-08T09:17:00+0530,375.8,398.75,362,398.25
2021-09-08T09:18:00+0530,399,425,392.45,421.45
2021-09-08T09:19:00+0530,419.45,421.45,395.55,414.95
2021-09-08T09:20:00+0530,414.95,425.65,410.55,422.4
2021-09-08T09:21:00+0530,420.5,430,408.4,419.3
2021-09-08T09:22:00+0530,414.35,419.3,393.95,408.35
2021-09-08T09:23:00+0530,408.35,412.25,395.45,398
2021-09-08T09:24:00+0530,393.7,405,386.4,395
2021-09-08T09:25:00+0530,395.9,402.45,376,384.1
2021-09-08T09:26:00+0530,385.6,398.9,384.1,392
2021-09-08T09:27:00+0530,395,416.45,392.45,416.45
2021-09-08T09:28:00+0530,415,428,413.9,414.55
2021-09-08T09:29:00+0530,413.3,414.7,402.05,404.3
2021-09-08T09:30:00+0530,407.4,407.4,386.4,396.35
2021-09-08T09:31:00+0530,396.35,399.95,390,399.95
2021-09-08T09:32:00+0530,399.95,415,395,408.45
2021-09-08T09:33:00+0530,408.45,418,406,412
2021-09-08T09:34:00+0530,412,417.5,409.5,417.5
2021-09-08T09:35:00+0530,416,425,413.9,415
2021-09-08T09:36:00+0530,414,418.75,412,415.85
2021-09-08T09:37:00+0530,412.75,419.6,405.9,419.6
2021-09-08T09:38:00+0530,417.45,453.6,417.45,450
2021-09-08T09:39:00+0530,452.65,466.2,445.05,450.75
2021-09-08T09:40:00+0530,450.75,475,450.55,467.45
2021-09-08T09:41:00+0530,468.45,475,462.9,467
2021-09-08T09:42:00+0530,471.45,473.5,457.2,460.6
2021-09-08T09:43:00+0530,460.6,468.1,460.5,466.8
2021-09-08T09:44:00+0530,463.1,491.1,463.1,483.8
2021-09-08T09:45:00+0530,485,487.1,480,480.7
2021-09-08T09:46:00+0530,480.7,480.7,465.4,467.5
2021-09-08T09:47:00+0530,467.5,471.75,460.6,465.7
2021-09-08T09:48:00+0530,465.7,467.05,459.35,463
2021-09-08T09:49:00+0530,463,479.45,462.65,477.5
2021-09-08T09:50:00+0530,477.5,477.5,464.3,470.45
2021-09-08T09:51:00+0530,470.45,471.05,458.8,466.65
2021-09-08T09:52:00+0530,466.65,468.55,459.65,463.8
2021-09-08T09:53:00+0530,463.8,470.65,462.35,463.5
2021-09-08T09:54:00+0530,462.5,464.1,436.25,439.05
2021-09-08T09:55:00+0530,438.8,449.25,425.75,432.85
2021-09-08T09:56:00+0530,435.75,449.95,433.65,449
2021-09-08T09:57:00+0530,449,449.05,441.6,448.1
2021-09-08T09:58:00+0530,447.75,460.6,445.9,459.55
2021-09-08T09:59:00+0530,460.55,473.8,457.2,468.3
2021-09-08T10:00:00+0530,471.8,484.35,468.3,479.5
2021-09-08T10:01:00+0530,479.5,485,476.85,480
2021-09-08T10:02:00+0530,480.9,483,464.8,464.8
2021-09-08T10:03:00+0530,464.8,471.25,451.05,451.05
2021-09-08T10:04:00+0530,451,451.05,416.5,435
